,recipe_title,총합_에너지(kcal),총합_수분(g),총합_단백질(g),총합_지방(g),총합_회분(g),총합_탄수화물(g),총합_당류(g),총합_식이섬유(g),총합_칼슘(mg),총합_철(mg),총합_인(mg),총합_칼륨(mg),총합_나트륨(mg),총합_비타민a(μg rae),총합_레티놀(μg),총합_베타카로틴(μg),총합_티아민(mg),총합_리보플라빈(mg),총합_니아신(mg),총합_비타민c(mg),총합_비타민d(μg),총합_콜레스테롤(mg),총합_포화지방산(g),총합_트랜스지방산(g),총합_폐기율(%)
344,바삭하고 고소한 호두강정 만들기,3755.0,16.35,73.06,344.01,9.1,107.485,58.925,37.5,449.0,13.345,1400.5,2747.0,29.0,0.0,0.0,0.0,1.3,0.75,5.0,0.0,0.0,0.0,34.35,0.0,0.0
345,간단하고 맛있게 끓이는 닭볶음탕 여름보양식,360.0,249.565,5.704,0.319,2.58,86.836,44.172,6.4,56.6,1.53,139.45,1010.3,26.1,301.0,0.0,3598.0,0.27,0.156,1.07,0.0,0.0,0.0,0.07,0.0,0.0
346,깊고 진한 차돌박이 된장찌개,42.6,17.46,4.08,2.067,4.221,2.178,0.123,1.44,34.2,0.975,62.4,141.9,1545.6,0.3,0.0,2.1,0.132,0.055,0.204,0.0,0.0,0.0,0.303,0.006,0.0
347,참치 청국장찌개,100.0,167.9,5.35,0.46,1.86,24.46,0.18,6.2,9.0,0.91,131.0,718.0,4.0,1.0,0.0,8.0,0.15,0.169,0.47,0.0,1.43,0.0,0.07,0.0,0.0
348,웰빙 콩비지찌개,137.55,0.03,0.0,14.938,0.01,0.021,0.0,0.0,6.45,0.262,14.85,8.4,2.4,0.15,0.0,1.65,0.0,0.01,0.0,0.0,0.0,0.0,2.198,0.044,0.0
349,병아리콩 이제는 치즈 병아리콩으로 먹어봐요^^,46.95,2.16,0.057,0.003,0.07,12.71,10.077,0.0,1.5,0.021,1.2,30.45,0.15,0.0,0.0,0.0,0.0,0.213,0.038,0.0,0.0,0.0,0.002,0.0,0.0
350,뚝배기 콘치즈,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,견과초코바~ 발렌타인데이,228.0,1.02,0.072,0.012,0.12,58.782,55.71,0.0,28.8,0.414,0.6,56.4,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,팽이버섯얼음 만들기,42.0,178.2,6.02,0.74,1.92,13.18,0.36,8.6,8.0,0.84,162.0,734.0,6.0,0.0,0.0,0.0,0.06,0.234,0.72,0.0,2.86,0.0,0.1,0.0,0.0
353,송편맛탕 만들기,228.0,1.02,0.072,0.012,0.12,58.782,55.71,0.0,28.8,0.414,0.6,56.4,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,닭한마리 김치찜,157.65,7.645,4.255,2.536,1.656,33.909,19.268,11.46,31.35,1.6,108.75,796.9,16.55,184.2,0.0,2208.9,0.134,0.65,2.548,0.08,0.0,0.0,0.446,0.015,0.0
355,고구마 라떼 집에서 만들고 카페분위기 내기~,615.0,800.51,22.556,23.466,5.45,78.021,56.695,9.0,1055.4,1.457,604.3,1091.2,263.4,403.0,385.0,222.0,0.14,1.154,2.1,5.6,0.0,67.9,15.27,0.98,0.0
356,수란,666.32,84.114,28.8,40.6,5.006,43.48,0.0,0.0,246.98,11.728,998.0,132.5,1068.24,590.0,590.0,0.0,0.68,1.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0
357,수란 쉽게 만드는방법,1.12,0.399,0.0,0.0,6.321,0.28,0.0,0.0,10.43,1.848,0.0,8.75,2772.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,도라지정과 : 마음을 담아 선물 하기 좋은 전통 디저트 ★,478.6,144.67,3.095,0.275,1.271,120.784,93.887,4.08,121.1,1.302,104.7,406.8,24.8,1.7,0.0,15.3,0.051,0.054,0.901,10.2,0.0,0.0,0.051,0.0,0.0
359,달래호박된장찌개,524.6,362.96,85.19,15.737,9.891,6.068,0.853,2.89,65.2,2.73,84.4,259.4,1549.1,48.8,0.0,583.1,0.162,0.1,0.609,0.0,0.0,0.0,0.338,0.006,3.0
360,돼지고기 청국장,4.5,22.55,0.975,0.0,0.175,1.3,0.0,0.0,0.5,0.275,26.75,77.0,2.25,0.0,0.0,0.0,0.078,0.028,0.3,0.25,0.0,0.0,0.0,0.0,5.75
361,삼겹 고추장찌개,47.85,1.875,1.993,1.26,0.779,9.093,2.617,5.655,11.85,0.733,51.3,381.15,1.95,92.1,0.0,1104.45,0.064,0.324,1.264,0.0,0.0,0.0,0.222,0.008,0.0
362,경양식으로 근사하게 차리고 싶을때 !! 생각나는 함박스테이크 ★,610.0,180.1,100.02,9.17,25.56,185.06,3.63,56.7,34.0,23.7,3041.0,10533.0,216.0,0.0,0.0,0.0,2.1,8.634,44.77,0.0,0.0,0.0,1.44,0.03,0.0
363,강낭콩 매시드포테이토,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,비 오는 날 딱! 청국장찌개와 부추전,757.0,209.2,31.905,40.865,4.335,63.675,0.845,2.65,271.5,11.825,1063.0,616.5,277.0,636.5,590.0,556.0,0.82,1.626,1.14,7.6,0.0,0.0,0.045,0.0,0.0
365,한우뚝배기불고기,446.1,0.825,0.054,29.886,0.111,44.128,41.782,0.0,34.5,0.836,30.15,59.1,12.9,0.3,0.0,3.3,0.0,0.021,0.0,0.0,0.0,0.0,4.395,0.087,0.0
366,"참치김치찌개, 버섯잡채, 해물파전, 어묵볶음..",28.4,127.88,4.588,0.152,1.076,6.304,0.956,1.04,13.0,1.096,99.6,368.4,13.4,119.6,0.0,1432.8,0.102,0.311,1.64,0.0,0.0,0.0,0.012,0.0,0.0
367,포슬한 감자를 넣어 푸짐한~ 뚝배기 감자 콘치즈,96.0,214.08,4.08,0.72,1.44,19.68,0.0,0.0,24.0,0.96,127.2,0.0,0.0,0.0,0.0,0.0,0.408,0.24,0.48,52.8,0.0,0.0,0.0,0.0,0.0
368,계란 또띠아롤 브런치,29.25,39.33,1.386,1.494,0.302,2.488,1.854,0.0,50.85,0.023,37.8,64.35,16.2,24.75,24.75,0.0,0.009,0.073,0.135,0.36,0.0,4.365,0.976,0.063,0.0
369,수란 맛있게 만드는방법 만들기,1.12,0.399,0.0,0.0,6.321,0.28,0.0,0.0,10.43,1.848,0.0,8.75,2772.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,간단하게 배숙 만들기,93.37,89.542,0.357,0.045,0.959,25.148,15.312,0.826,3.68,0.1,15.53,171.82,0.19,0.02,0.0,0.19,0.04,0.285,0.173,2.215,0.0,0.0,0.012,0.0,13.0
371,"미니단호박에그슬럿,에어프라이어요리",26.0,91.8,0.94,0.06,0.7,6.5,3.85,1.7,8.0,0.28,29.0,329.0,7.0,48.0,0.0,572.0,0.01,0.021,0.35,17.5,0.0,0.0,0.02,0.0,0.0
372,바지락명란두부찌개,157.8,164.585,15.55,3.4,6.075,15.33,1.35,1.0,26.45,1.98,23.0,92.25,1981.6,19.0,0.0,229.0,0.04,0.026,0.3,4.5,0.0,0.0,0.02,0.0,0.0
373,청국장찌개 끓이기,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374,오징어 매운찌개,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375,메추리알을 품은 감자치즈볼밥전,2959.0,485.2,125.86,244.73,15.06,28.99,0.0,1.9,1261.0,61.29,4690.0,1135.0,409.0,5617.0,5616.0,56.0,4.12,3.172,0.27,0.0,40.0,5945.6,79.38,1.6,0.0
376,고소한 치즈감자전,158.0,157.6,4.68,0.18,1.8,35.74,0.0,3.8,10.0,0.98,100.0,702.0,2.0,2.0,0.0,16.0,0.24,0.104,0.22,0.0,0.0,0.0,0.04,0.0,0.0
377,양배추쌈 & 꽁치쌈장,42.6,17.46,4.08,2.067,4.221,2.178,0.123,1.44,34.2,0.975,62.4,141.9,1545.6,0.3,0.0,2.1,0.132,0.055,0.204,0.0,0.0,0.0,0.303,0.006,0.0
378,떡대신 치즈로~치즈볶이★,57.0,0.255,0.018,0.003,0.03,14.696,13.927,0.0,7.2,0.104,0.15,14.1,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,아이들 간식으로 좋은 견과류볶음,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,탕수육강정 만들기,114.0,0.51,0.036,0.006,0.06,29.391,27.855,0.0,14.4,0.207,0.3,28.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,옥수수콘으로 마약옥수수 만들기,114.0,0.51,0.036,0.006,0.06,29.391,27.855,0.0,14.4,0.207,0.3,28.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,뚝배기 불고기,161.0,418.7,15.01,3.17,4.56,58.59,0.18,4.3,24.0,2.82,217.0,1351.0,27.0,0.0,0.0,0.0,0.27,1.197,8.36,0.0,1.43,0.0,0.05,0.0,0.0
383,천기누설! 다이어트에 좋은 차엽란 만드는 법,3330.0,420.0,144.0,203.0,16.0,217.0,0.0,0.0,1220.0,56.0,4990.0,650.0,1380.0,2950.0,2950.0,0.0,3.4,7.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0
384,찜질방달걀...전기압력밥솥으로 만든 맥반석달걀,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,매콤크림라볶이,130.0,174.8,6.16,6.64,1.34,11.06,8.24,0.0,226.0,0.1,168.0,286.0,72.0,110.0,110.0,0.0,0.04,0.324,0.6,1.6,0.0,19.4,4.34,0.28,0.0
386,불닭라볶이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,청국장 찌개,101.5,33.45,8.755,6.87,0.48,0.0,0.0,0.0,3.5,0.365,83.5,150.0,26.0,4.5,4.5,0.0,0.235,0.072,2.75,0.85,0.49,34.9,2.265,0.045,0.0
388,키조개 미역국 & 키조개 달래 된장 찌개 만들기,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,호두 전처리하기,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,커피 캬라멜,160.1,133.98,4.696,4.984,1.099,25.241,19.616,0.0,171.5,0.103,127.6,255.1,54.2,82.5,82.5,0.0,0.03,0.526,0.5,1.2,0.0,14.55,3.257,0.21,0.0
391,두유 허니 푸딩,62.6,2.88,0.076,0.004,0.094,16.946,13.436,0.0,2.0,0.028,1.6,40.6,0.2,0.0,0.0,0.0,0.0,0.283,0.05,0.0,0.0,0.0,0.002,0.0,0.0
392,마른오징어 반찬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,김치아란치노!!!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,함께여서 행복했던 우리집 주말 밥상,148.7,88.33,6.097,0.328,13.206,32.057,0.174,4.65,131.7,5.386,136.4,488.4,4803.5,69.0,0.0,827.5,0.084,0.226,0.722,17.9,0.0,0.0,0.05,0.0,0.0
395,햇양파로 만든 달짝지근한 자반고등어양파조림,143.55,5.625,5.98,3.78,2.336,27.279,7.852,16.965,35.55,2.2,153.9,1143.45,5.85,276.3,0.0,3313.35,0.194,0.972,3.794,0.0,0.0,0.0,0.666,0.023,0.0
396,여름호박조림,80.0,79.6,2.28,2.54,0.74,14.84,2.1,0.0,6.0,0.48,56.0,333.0,0.0,0.0,0.0,0.0,0.13,0.01,0.28,3.8,0.0,0.0,0.02,0.0,12.0
397,갓김치두부조림 묵은지는 언제나 옳구나,89.85,183.875,7.603,1.73,2.338,19.483,2.798,9.955,54.85,9.654,193.3,748.15,4.95,99.1,0.0,1186.45,0.134,0.681,1.824,8.0,1.43,0.0,0.272,0.008,0.0
398,김치찌개,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,달큰한 오징어찌개,14047.5,9047.9,2405.065,406.89,158.53,26.835,0.925,0.7,9.5,0.06,10.0,67.5,3.5,0.0,0.0,0.0,0.0,0.0,0.095,4.2,0.0,0.0,0.005,0.0,0.0
400,"해찬들 100%국산 고추장으로 맛을낸 김치참치 두부찌개,비빔밥,파절이",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,맛있는 가지요리 어향가지 만드는 법,171.35,190.258,4.02,1.465,1.824,39.936,27.389,12.455,56.65,1.529,105.525,760.3,8.0,112.1,0.0,1354.45,0.105,0.496,1.924,0.0,0.0,0.0,0.282,0.008,0.0
402,추운겨울 추억의 겨울간식 호떡을 만들어 봐요,76.48,0.511,0.024,0.004,2.749,19.714,18.57,0.0,14.07,0.93,0.2,22.55,1191.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,냉이 두 부전 / 당뇨의 식단에 좋은 두부로 만든 봄나물 요리,999.64,126.228,43.2,60.9,8.412,65.26,0.0,0.0,371.96,17.856,1497.0,200.0,1998.48,885.0,885.0,0.0,1.02,2.28,1.5,0.0,0.0,0.0,0.0,0.0,0.0
404,소고기떡볶기 만드는법,554.55,305.315,48.886,32.039,3.64,30.92,4.642,0.0,26.85,7.037,430.9,1123.1,121.3,12.15,12.0,1.65,0.22,0.704,12.06,2.2,1.16,103.0,8.478,0.403,0.0
405,소고기떡볶기 맛있게 만드는법,554.55,305.315,48.886,32.039,3.64,30.92,4.642,0.0,26.85,7.037,430.9,1123.1,121.3,12.15,12.0,1.65,0.22,0.704,12.06,2.2,1.16,103.0,8.478,0.403,0.0
406,장똑똑이만드는법 / 수미네 반찬,849.2,372.265,108.982,39.26,10.863,5.64,4.73,0.12,34.1,14.082,906.35,1746.8,2665.6,30.0,30.0,0.0,0.292,0.418,20.411,5.5,2.9,257.5,15.7,0.9,0.0
407,"베트남길거리음식 응오싸오,반싸오- 옥수수볶음",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,불닭분모자 ☆ 쫄깃 매콤 한번 먹으면 멈출 수 없어!,417.42,2.184,0.15,45.008,0.041,0.616,0.063,0.09,0.27,0.018,3.6,12.3,5.97,2.7,0.0,31.95,0.003,0.001,0.011,0.048,0.0,0.0,6.77,0.014,0.0
409,생선찌개..조림과 탕의 중간쯤...,119.4,122.045,5.838,2.559,13.356,21.22,6.916,0.24,31.8,0.91,128.65,731.9,4800.3,0.0,0.0,0.0,0.214,0.075,0.802,3.8,0.0,0.0,0.02,0.0,12.0
410,"맛남의 광장, 열무 꽁치조림 레시피",126.5,59.18,7.372,3.678,4.022,20.75,5.296,13.43,105.3,2.324,159.8,908.25,791.7,325.35,0.0,3903.95,0.195,0.71,2.681,4.8,0.0,0.0,0.62,0.018,0.0
411,국물자작한 애호박황태조림,140.97,2.199,0.15,14.987,0.056,0.616,0.063,0.09,11.52,0.825,29.25,25.8,7.77,0.75,0.0,8.85,0.003,0.01,0.011,0.048,0.0,0.0,1.146,0.061,0.0
412,얼큰하고 감칠맛 제대로 나는 어묵 김치찌개,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,참치 김치찌개,23.925,0.938,0.997,0.63,0.389,4.546,1.309,2.828,5.925,0.367,25.65,190.575,0.975,46.05,0.0,552.225,0.032,0.162,0.632,0.0,0.0,0.0,0.111,0.004,0.0
414,청국장찌개,47.85,1.875,1.993,1.26,0.779,9.093,2.617,5.655,11.85,0.733,51.3,381.15,1.95,92.1,0.0,1104.45,0.064,0.324,1.264,0.0,0.0,0.0,0.222,0.008,0.0
415,김치나베돈가스 - 밥 반찬으로 좋아요,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,에그베이컨감자전,158.0,157.6,4.68,0.18,1.8,35.74,0.0,3.8,10.0,0.98,100.0,702.0,2.0,2.0,0.0,16.0,0.24,0.104,0.22,0.0,0.0,0.0,0.04,0.0,0.0
417,말복 _ 돼지목살 콩나물불고기 푸짐푸짐하게,155.4,497.86,24.552,4.518,18.106,14.982,0.174,0.24,73.4,3.396,302.6,1084.2,4824.4,5.0,0.0,45.0,0.534,0.865,3.022,85.0,0.0,0.0,0.0,0.0,0.0
418,매콤 국물 치즈 라볶이,276.9,25.695,5.817,2.538,7.95,63.014,47.104,11.43,57.0,1.975,139.35,1001.7,2411.7,184.2,0.0,2208.9,0.171,0.68,2.79,0.0,0.0,0.0,0.444,0.015,0.0
419,아이들 간식으로~ 베이컨 치즈감자,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,백선생님의 중국식 만능 소스를 활용한 대패삼겹살 라볶이,311.8,85.99,3.296,30.578,1.972,13.166,0.014,0.02,19.85,1.158,69.75,295.65,410.75,0.3,0.0,3.3,0.067,0.296,2.043,0.0,0.0,0.0,4.395,0.087,0.0
421,여경래 셰프의 묵은지 짜춘권 - 수미네반찬 2회,10.2,21.18,1.776,0.009,6.303,0.741,0.087,0.12,11.7,0.198,36.3,197.1,2399.7,0.0,0.0,0.0,0.042,0.033,0.261,0.0,0.0,0.0,0.0,0.0,0.0
422,떡볶음 간단하면서 든든한 간식,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,불고기...서울식불고기(국물이 자박)~강추,231.9,395.43,8.968,2.941,4.347,63.494,21.423,14.98,68.2,5.118,188.4,1535.2,390.3,101.85,0.0,1223.1,0.088,0.696,1.737,1.08,1.43,0.0,0.466,0.0,8.4
424,돼지고기 두부 강된장 - 밥 쓱쓱 넣고 비벼먹으면 굿뜨!,249.45,177.735,10.693,5.957,6.64,43.981,4.84,8.995,57.05,2.678,219.7,1207.05,1548.55,93.4,0.0,1114.55,0.446,0.441,1.858,3.8,0.0,0.0,0.565,0.014,12.0
425,밥을 부르는 삼겹살 김치찜 맛있는 조합,14.85,10.92,0.75,0.04,0.207,3.082,0.316,0.45,1.35,0.09,18.0,61.5,29.85,0.0,0.0,0.0,0.016,0.006,0.057,0.24,0.0,0.0,0.008,0.0,0.0
426,무돼지찌개 끓이기,53.85,40.195,2.206,1.332,0.883,10.401,3.358,6.215,19.45,0.782,59.3,435.15,4.75,92.1,0.0,1104.45,0.064,0.324,1.34,3.36,0.0,0.0,0.226,0.008,0.0
427,유부된장찌개,149.0,243.6,8.34,1.49,2.7,43.87,0.0,1.9,15.0,1.69,118.0,843.0,13.0,1.0,0.0,8.0,0.24,0.592,4.11,0.0,0.0,0.0,0.02,0.0,0.0
428,청국장찌개,6552.0,4200.0,1122.24,189.84,73.92,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429,명란젓 찌개,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,초간단 간장찜닭 : 질리지 않는 건강하고 깔끔한 맛,318.0,423.17,12.172,2.922,3.76,67.977,11.385,3.8,98.8,18.529,278.1,1044.4,3.8,16.0,0.0,180.0,0.45,0.594,0.9,19.8,0.0,0.0,0.06,0.0,12.0
431,"♬ 뜨끈한 바지락 순두부찌개, 일교차 큰 요즘 딱이야 ~!",333.0,42.0,14.4,20.3,1.6,21.7,0.0,0.0,122.0,5.6,499.0,65.0,138.0,295.0,295.0,0.0,0.34,0.76,0.5,0.0,0.0,0.0,0.0,0.0,0.0
432,구수한 된장찌개,169.45,98.135,8.414,3.417,5.9,29.141,2.74,8.995,51.05,2.198,163.7,874.05,1548.55,93.4,0.0,1114.55,0.316,0.431,1.578,0.0,0.0,0.0,0.545,0.014,0.0
433,콩비지찌개 구수하게 끓이기,47.85,1.875,1.993,1.26,0.779,9.093,2.617,5.655,11.85,0.733,51.3,381.15,1.95,92.1,0.0,1104.45,0.064,0.324,1.264,0.0,0.0,0.0,0.222,0.008,0.0
434,김치치즈프라이드,39.5,39.4,1.17,0.045,0.45,8.935,0.0,0.95,2.5,0.245,25.0,175.5,0.5,0.5,0.0,4.0,0.06,0.026,0.055,0.0,0.0,0.0,0.01,0.0,0.0
435,길고긴 겨울방학 아이들 점심으로 준비했어요. 목살 또띠아롤~,163.05,52.98,4.44,14.961,15.768,1.874,0.217,0.3,35.7,0.758,105.6,501.15,6001.65,0.15,0.0,1.65,0.105,0.092,0.652,0.0,0.0,0.0,2.198,0.044,0.0
436,우리 아이 건강 요리 곤드레밥 타코야키,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,소시지 맛탕,57.0,0.255,0.018,0.003,0.03,14.696,13.927,0.0,7.2,0.104,0.15,14.1,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,참깨경단 만들기,38.0,0.17,0.012,0.002,0.02,9.797,9.285,0.0,4.8,0.069,0.1,9.4,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,묵은지 돼지고기김치찜 깊은맛이 일품,1469.55,401.94,105.096,97.384,5.83,29.412,27.855,0.0,62.85,4.85,1017.15,1836.6,319.8,54.15,54.0,1.65,2.82,0.874,33.0,10.2,5.88,418.8,29.377,0.584,0.0
440,저녁반찬으로 딱~돼지고기 묵은지 김치찜~~^^,666.0,200.955,52.548,41.223,2.91,14.696,13.927,0.0,28.2,2.294,501.15,914.1,158.7,27.0,27.0,0.0,1.41,0.432,16.5,5.1,2.94,209.4,13.59,0.27,0.0
441,보글보글 맛있는 김치찌개,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,쇠고기 섞어찌개,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,매콤 칼칼 [닭볶음탕] 만들기,704.9,377.215,21.768,7.882,22.402,150.761,54.57,28.62,119.25,5.69,502.4,3445.65,6018.15,371.4,0.0,4441.8,0.853,1.543,6.32,3.8,0.0,0.0,0.968,0.03,12.0
444,얼큰달큰 오징어시금치 고추장찌개,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,순두부 찌개,338.4,184.102,30.828,8.184,5.102,34.224,1.26,0.0,7.325,0.948,33.6,202.925,990.3,0.0,0.0,0.0,0.078,0.006,0.168,2.28,0.0,0.0,0.012,0.0,7.2
446,멸치 강정,6910.0,35.0,91.7,719.7,14.9,138.6,39.7,96.0,700.0,25.3,2770.0,4100.0,0.0,20.0,0.0,290.0,6.6,1.3,11.7,11.0,0.0,0.0,61.8,0.0,470.0
447,호두 떡강정 만들기,114.0,0.51,0.036,0.006,0.06,29.391,27.855,0.0,14.4,0.207,0.3,28.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448,기관지에 좋은 은행속껍질 쉽게 벗기기,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,"돼지고기의 재발견 : 사태김치찜 만들기, 돼지사태묵은지찜",223.95,13.23,2.935,1.273,4.02,53.55,44.444,5.715,39.3,1.143,69.9,522.0,1209.9,92.1,0.0,1104.45,0.086,0.34,1.395,0.0,0.0,0.0,0.222,0.008,0.0
450,돼지고기 앞다리살로 초간단 묵은지 김치찜 만들기,57.0,0.255,0.018,0.003,0.03,14.696,13.927,0.0,7.2,0.104,0.15,14.1,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,#갈비김치찜 [돼지갈비김치지짐],228.0,1.02,0.072,0.012,0.12,58.782,55.71,0.0,28.8,0.414,0.6,56.4,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,오징어섞어찌개,420.775,447.412,32.91,18.465,5.908,66.9,4.601,8.983,54.275,4.56,391.45,1898.725,79.425,156.65,9.0,1771.175,0.827,1.723,15.547,3.95,0.98,69.8,4.873,0.101,0.0
453,돼지고기 김치찌개,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,얼큰하고 뜨끈하게 - 돼지고기 고추장 찌개,384.7,192.685,23.794,20.07,2.992,29.57,2.617,7.555,27.0,2.591,326.75,1188.95,60.25,102.15,9.0,1113.0,0.81,0.578,7.474,2.2,0.98,69.8,5.504,0.112,11.5
455,꽃게 된장찌개,122.6,97.06,6.36,4.607,4.961,17.018,2.223,1.44,40.2,1.455,118.4,474.9,1545.6,0.3,0.0,2.1,0.262,0.065,0.484,3.8,0.0,0.0,0.323,0.006,12.0
