recipe_title,recipe_ingredients,ingredient1,quantity1,unit1,ingredient2,quantity2,unit2,ingredient3,quantity3,unit3,ingredient4,quantity4,unit4,ingredient5,quantity5,unit5,ingredient6,quantity6,unit6,ingredient7,quantity7,unit7,ingredient8,quantity8,unit8,ingredient9,quantity9,unit9,ingredient10,quantity10,unit10,ingredient11,quantity11,unit11,ingredient12,quantity12,unit12,ingredient13,quantity13,unit13,ingredient14,quantity14,unit14,ingredient15,quantity15,unit15,ingredient16,quantity16,unit16,ingredient17,quantity17,unit17,ingredient18,quantity18,unit18,ingredient19,quantity19,unit19,ingredient20,quantity20,unit20
건새우볶음 만드는 법: 견과류를 듬뿍 넣어 더욱 고소하고 맛있어요!,"{'재료': ['마른꽃새우50g', '견과류30g'], '양념': ['진간장2큰술', '설탕1큰술', '올리고당1큰술', '미림1큰술', '통깨적당량']}",마른꽃새우,50,g,견과류,30,g,진간장,2,큰술,설탕,1,큰술,올리고당,1,큰술,미림,1,큰술,통깨적당량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[호박볶음 황금 레시피]/ 애호박으로 새우젓을 넣어 맛있는 호박볶음 해 보실래요~,"{'재료': ['호박1개300g', '양파조금50g', '대파1/4개', '청양홍고추1개', '새우젓1큰술', '마늘3쪽', '올리브유2큰술', '참기름2/3큰술', '깨소금1큰술']}",호박,1,개,양파조금,50,g,대파,1/4,개,청양홍고추,1,개,새우젓,1,큰술,마늘,3,쪽,올리브유,2,큰술,참기름,2/3,큰술,깨소금,1,큰술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【초간단】빠삭빠삭한 꽈리고추멸치볶음 만들기~,"{'재료': ['지리멸치100g', '마늘10쪽', '꽈리고추7개'], '양념': ['양조간장2T', '설탕2T', '물엿(or올리고당)1T', '깨소금1.5T']}",지리멸치,100,g,마늘,10,쪽,꽈리고추,7,개,양조간장,2,T,설탕,2,T,물엿,,,깨소금,1.5,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초간단 양배추 스크램블,"{'재료': ['계란2개', '양배추1줌', '후추약간', '소금약간']}",계란,2,개,양배추,1,줌,후추약간,,,소금약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카레 감자채 볶음,"{'재료': ['감자3개(400g)', '양파1/2개(중간사이즈)', '당근조금'], '양념': ['카레가루2스푼', '소금적당량', '후춧가루적당량', '깨소금0.5스푼']}",감자,3,개,양파,1/2,개,당근조금,,,카레가루,2,스푼,소금적당량,,,후춧가루적당량,,,깨소금,0.5,스푼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
햄파채 볶음,"{'주재료': ['냉장햄300그람', '대파3대'], '양념': ['소금2꼬집', '후추약간', '통깨약간']}",냉장햄,300,그람,대파,3,대,소금,2,꼬집,후추약간,,,통깨약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[견과류멸치볶음] 호두와 아몬드 청양고추 팍팍 멸치볶음 만들기,"{'재료': ['잔멸치200g', '청양고추10개', '호두150g', '아몬드150g', '식용유(두르기)2번'], '양념': ['간장2T', '설탕6T', '물엿3T', '깨1T', '참기름1/2T']}",잔멸치,200,g,청양고추,10,개,호두,150,g,아몬드,150,g,식용유(두르기),2,번,간장,2,T,설탕,6,T,물엿,3,T,깨,1,T,참기름,1/2,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부드럽고 촉촉한 간장진미채볶음 만드는 법,"{'재료': ['진미채240g', '마요네즈2밥숟가락'], '양념(밥숟가락 계량)': ['간장3밥숟가락', '맛술3밥숟가락', '올리고당2밥숟가락', '다진마늘1밥숟가락', '설탕1밥숟가락', '물2밥숟가락', '후추약간'], '후첨양념': ['참기름1.5밥숟가락', '통깨적당량']}",진미채,240,g,마요네즈,2,밥숟가락,간장,3,밥숟가락,맛술,3,밥숟가락,올리고당,2,밥숟가락,다진마늘,1,밥숟가락,설탕,1,밥숟가락,물,2,밥숟가락,후추약간,,,참기름,1.5,밥숟가락,통깨적당량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소금과 간장으로 간을해서 간단하게 만든 애호박볶음 레시피,"{'재료': ['애호박1개', '양파1개', '느타리버섯적당량', '식용유넉넉히', '다진마늘5알', '굵은소금1/2t', '진간장1t', '참기름1t', '통깨적당량']}",애호박,1,개,양파,1,개,느타리버섯적당량,,,식용유넉넉히,,,다진마늘,5,알,굵은소금,1/2,t,진간장,1,t,참기름,1,t,통깨적당량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
파프리카 감자볶음,"{'재료': ['감자중간크기2개', '양파1/2개', '삼색파프리카1/3개씩', '부추30g', '오일1큰술'], '양념': ['마늘3쪽', '굴소스2작은술', '소금약간', '후추약간', '참기름약간']}",감자중간크기,2,개,양파,1/2,개,삼색파프리카,1/3,개씩,부추,30,g,오일,1,큰술,마늘,3,쪽,굴소스,2,작은술,소금약간,,,후추약간,,,참기름약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새우숙주볶음,"{'재료': ['새우5~6마리', '양파1/2', '숙주1줌', '파1/2', '달걀1개'], '양념': ['굴소스1T', '진간장2T', '참기름1T', '후추약간', '맛술1T', '페퍼치노고추3~4알', '허브솔트약간']}",새우,5~6,마리,양파,1/2,,숙주,1,줌,파,1/2,,달걀,1,개,굴소스,1,T,진간장,2,T,참기름,1,T,후추약간,,,맛술,1,T,페퍼치노고추,3~4,알,허브솔트약간,,,,,,,,,,,,,,,,,,,,,,,,,,
미니새송이버섯볶음 만들기,"{'재료': ['미니새송이20송이', '브로콜리약간', '통마늘3개', '청양고추1개', '식용유약간'], '양념': ['고춧가루1큰술', '굴소스1큰술', '다진마늘1/2작은술', '올리고당1작은술', '참기름1작은술', '참깨약간']}",미니새송이,20,송이,브로콜리약간,,,통마늘,3,개,청양고추,1,개,식용유약간,,,고춧가루,1,큰술,굴소스,1,큰술,다진마늘,1/2,작은술,올리고당,1,작은술,참기름,1,작은술,참깨약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김볶음 만들기 바삭하고 달콤하며 맛있는 밑반찬!,"{'재료': ['마른김또는눅눅해진김20~30장', '통깨약간'], '양념': ['포도씨유1/2컵', '간장3큰술', '설탕3큰술', '맛술1큰술']}",마른김또는눅눅해진김,20~30,장,통깨약간,,,포도씨유,1/2,컵,간장,3,큰술,설탕,3,큰술,맛술,1,큰술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[반찬] 맛있는 ""비엔나미니새송이버섯볶음""♪","{'재료': ['미니새송이버섯170g(대략3주먹)', '비엔나소세지10개', '대파조금'], '재료 볶을때': ['다진마늘1스푼', '식용유2스푼'], '양념': ['진간장2스푼', '굴소스1스푼', '설탕1/2스푼', '후추약간', '깨약간']}",미니새송이버섯,170,g,비엔나소세지,10,개,대파조금,,,다진마늘,1,스푼,식용유,2,스푼,진간장,2,스푼,굴소스,1,스푼,설탕,1/2,스푼,후추약간,,,깨약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새우 브로콜리 볶음,"{'재료': ['브로콜리1송이', '칵테일새우150g', '다진마늘1/2큰술', '마른고추1개', '소금약간', '포도씨유1큰술'], '양념': ['마요네즈2큰술', '굴소스1큰술', '설탕1/2작은술', '두반장소스(고춧가루와간장으로대체가능)1작은술']}",브로콜리,1,송이,칵테일새우,150,g,다진마늘,1/2,큰술,마른고추,1,개,소금약간,,,포도씨유,1,큰술,마요네즈,2,큰술,굴소스,1,큰술,설탕,1/2,작은술,두반장소스(고춧가루와간장으로대체가능),1,작은술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아기반찬 무나물 만들기,"{'재료': ['무'], '양념': ['통깨', '다진마늘1/2술', '소금1꼬집', '들깨가루1/2술']}",무,,,통깨,,,다진마늘,1/2,술,소금,1,꼬집,들깨가루,1/2,술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마늘종 볶음 맛있고 간단하게~~,"{'재료': ['마늘종1단', '간장4T', '올리고당1T', '식용유1T', '참기름1T', '통깨조금']}",마늘종,1,단,간장,4,T,올리고당,1,T,식용유,1,T,참기름,1,T,통깨조금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
참치어묵볶음,"{'재료': ['묵은지6장', '어묵2장', '캔참치100g', '참깨약간', '식용유약간'], '양념': ['고추장1큰술', '간장1작은술', '참기름1큰술', '올리고당1+1/2큰술']}",묵은지,6,장,어묵,2,장,캔참치,100,g,참깨약간,,,식용유약간,,,고추장,1,큰술,간장,1,작은술,참기름,1,큰술,올리고당,1+1/2,큰술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스팸 마늘쫑 볶음,"{'재료': ['스팸1캔', '마늘쫑200g', '고추가루1큰술', '진간장3큰술', '올리고당1큰술', '맛소금2티스푼', '참기름1큰술', '깨1큰술', '후추', '식용유']}",스팸,1,캔,마늘쫑,200,g,고추가루,1,큰술,진간장,3,큰술,올리고당,1,큰술,맛소금,2,티스푼,참기름,1,큰술,깨,1,큰술,후추,,,식용유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아끼는 특급레시피~호두멸치볶음(멸치볶음 만드는법),"{'재료': ['호두200g', '지리멸치120g', '간장8T', '식용유3+1/2T', '설탕3T', '올리고당3T', '미림3T', '깨약간']}",호두,200,g,지리멸치,120,g,간장,8,T,식용유,3+1/2,T,설탕,3,T,올리고당,3,T,미림,3,T,깨약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
애호박 새우젓 볶음,"{'재료': ['애호박', '마늘', '양파', '대파'], '양념': ['고춧가루', '후추', '마늘', '맛술', '새우젓']}",애호박,,,마늘,,,양파,,,대파,,,고춧가루,,,후추,,,마늘,,,맛술,,,새우젓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
달콤 진미채,"{'재료': ['진미채150g', '아몬드슬라이스약간'], '양념': ['마요네즈1큰술', '간장1/3큰술', '물엿2큰술']}",진미채,150,g,아몬드슬라이스약간,,,마요네즈,1,큰술,간장,1/3,큰술,물엿,2,큰술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
버터 양송이버섯 볶음 만들기/초간단 고급 레시피,"{'재료': ['양송이버섯400g', '마늘5알', '파슬리가루4꼬집', '후추적당히', '소금2꼬집', '버터1스푼정도', '식용유적당히']}",양송이버섯,400,g,마늘,5,알,파슬리가루,4,꼬집,후추적당히,,,소금,2,꼬집,버터,1,스푼정도,식용유적당히,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"어묵버섯볶음 초간단 레시피, 국민반찬 인기반찬~ 점심메뉴에 오뎅버섯 볶음 하나 추가하세요~","{'재료': ['사각오뎅3장', '느타리버섯100g'], '양념장': ['설탕2T', '간장3T', '미림1.5T', '물엿1T', '굴소스0.5T', '물2T'], '파기름': ['다진파2큰술', '식용유1T']}",사각오뎅,3,장,느타리버섯,100,g,설탕,2,T,간장,3,T,미림,1.5,T,물엿,1,T,굴소스,0.5,T,물,2,T,다진파,2,큰술,식용유,1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단짠인줄 알았는데… 은근 매콤?! 꽈리고추오징어볶음 ★,"{'필수재료': ['오징어1마리', '꽈리고추8개', '마늘3개', '참기름1/2숟가락', '통깨약간'], '양념재료': ['간장2+1/2숟가락', '올리고당3숟가락', '다진마늘1/2숟가락', '후추약간']}",오징어,1,마리,꽈리고추,8,개,마늘,3,개,참기름,1/2,숟가락,통깨약간,,,간장,2+1/2,숟가락,올리고당,3,숟가락,다진마늘,1/2,숟가락,후추약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
표고버섯 어묵볶음. 둘이 만나 더 맛있는 요리. 밑반찬 만들기,"{'재료': ['어묵10장', '표고버섯1팩', '청양고추2개', '홍고추1개', '대파1대'], '양념': ['굴소스2T', '간장4T', '올리고당3T', '고춧가루3T', '다진마늘1T', '후춧가루', '깨', '참기름살짝']}",어묵,10,장,표고버섯,1,팩,청양고추,2,개,홍고추,1,개,대파,1,대,굴소스,2,T,간장,4,T,올리고당,3,T,고춧가루,3,T,다진마늘,1,T,후춧가루,,,깨,,,참기름살짝,,,,,,,,,,,,,,,,,,,,,,,
가지요리 : 간단하면서 고급스런 토마토가지볶음,"{'재료': ['올리브유4숟갈', '가지1개', '방울토마토9개', '굴소스2숟갈']}",올리브유,4,숟갈,가지,1,개,방울토마토,9,개,굴소스,2,숟갈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마른반찬 건새우 볶음 만들기,"{'재료': ['꽃새우50g(2줌)', '고추장1큰술', '올리고당2큰술', '설탕1큰술', '다진마늘1/2큰술', '진간장1/2큰술', '물약간', '깨소금약간']}",꽃새우,50,g,고추장,1,큰술,올리고당,2,큰술,설탕,1,큰술,다진마늘,1/2,큰술,진간장,1/2,큰술,물약간,,,깨소금약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백종원 어묵볶음 황금레시피 :),"{'재료': ['어묵5-6장', '파프리카1개', '당근1/3개', '양파1/2개', '청양고추1개', '대파1/2개'], '양념': ['간장3T', '올리고당2T', '맛술1T', '다진마늘1T', '통깨1T']}",어묵,5-6,장,파프리카,1,개,당근,1/3,개,양파,1/2,개,청양고추,1,개,대파,1/2,개,간장,3,T,올리고당,2,T,맛술,1,T,다진마늘,1,T,통깨,1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,
부드러운 간장진미채볶음,"{'재료': ['진미오징어채100g'], '양념': ['다진마늘1스푼', '간장2스푼', '올리고당2스푼', '매실액1스푼', '맛술1스푼', '물3스푼', '마요네즈1스푼', '참기름조금', '깨조금']}",진미오징어채,100,g,다진마늘,1,스푼,간장,2,스푼,올리고당,2,스푼,매실액,1,스푼,맛술,1,스푼,물,3,스푼,마요네즈,1,스푼,참기름조금,,,깨조금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【초간단】탱글탱글 느타리 버섯볶음 만들기~,"{'재료': ['버섯2줌', '양파1/4개', '채썬당근2꼬집', '고추1개', '대파5cm', '마늘1/2T', '후추2번톡톡', '소금1/2T']}",버섯,2,줌,양파,1/4,개,채썬당근,2,꼬집,고추,1,개,대파,5,cm,마늘,1/2,T,후추,2,번톡톡,소금,1/2,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순식간에 끝나는 매콤 볼어묵볶음!!,"{'재료': ['볼어묵400g', '꽈리고추8~10개', '양파1/4개', '당근조금', '다진마늘1T'], '양념': ['고추장1T', '간장2T', '설탕1T', '물엿3T', '굵은고춧가루1T', '미림or물1T']}",볼어묵,400,g,꽈리고추,8~10,개,양파,1/4,개,당근조금,,,다진마늘,1,T,고추장,1,T,간장,2,T,설탕,1,T,물엿,3,T,굵은고춧가루,1,T,미림,,or물,,,,,,,,,,,,,,,,,,,,,,,,,,,
느타리버섯 호박 들깨볶음,"{'재료': ['느타리버섯300g', '쥬키니호박1/3개(애호박1/2개)'], '양념': ['들깨가루3T', '들기름1T', '간장0.5T', '소금약간', '올리고당0.5T']}",느타리버섯,300,g,쥬키니호박,1/3,개,들깨가루,3,T,들기름,1,T,간장,0.5,T,소금약간,,,올리고당,0.5,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
식어도 물기없는 맛타리버섯 볶음 만드는법,"{'재료': ['맛타리버섯200g', '파프리카', '피망', '양파'], '양념': ['소금', '오일']}",맛타리버섯,200,g,파프리카,,,피망,,,양파,,,소금,,,오일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"미니 새송이버섯 볶음, 쫄깃한 초간단 밑반찬","{'재료': ['미니새송이버섯388g', '양파1/2개', '청양고추1개', '홍고추1개', '대파1/2개', '마늘4알'], '양념': ['진간장2스푼', '맛술1스푼', '물엿2스푼', '굴소스1스푼', '후추조금', '깨조금']}",미니새송이버섯,388,g,양파,1/2,개,청양고추,1,개,홍고추,1,개,대파,1/2,개,마늘,4,알,진간장,2,스푼,맛술,1,스푼,물엿,2,스푼,굴소스,1,스푼,후추조금,,,깨조금,,,,,,,,,,,,,,,,,,,,,,,,,,
볶음김치 황금레시피 김치볶음 밑반찬,"{'재료': ['익은김치400g(3컵)', '김칫국물1+1/2큰술', '설탕2큰술', '양파(중)2/3개', '대파(흰부분)20cm', '식용유2큰술', '참기름1/3큰술', '통깨1큰술'], '김치 양념': ['간장2/3큰술', '올리고당1+1/2큰술', '고춧가루1+1/2큰술', '맛술1+1/2큰술', '참기름1큰술', '통깨1큰술']}",익은김치,400,g,김칫국물,1+1/2,큰술,설탕,2,큰술,양파(중),2/3,개,대파(흰부분),20,cm,식용유,2,큰술,참기름,1/3,큰술,통깨,1,큰술,간장,2/3,큰술,올리고당,1+1/2,큰술,고춧가루,1+1/2,큰술,맛술,1+1/2,큰술,참기름,1,큰술,통깨,1,큰술,,,,,,,,,,,,,,,,,,
감자멸치볶음 만들기,"{'재료': ['감자(중)1개', '잔멸치1웅큼', '다진마늘1/3스푼', '송송썬파1스푼'], '양념': ['간장3스푼', '설탕1/2스푼', '식용류1스푼', '꿀1+1/2스푼', '물5스푼', '통깨1스푼']}",감자(중),1,개,잔멸치,1,웅큼,다진마늘,1/3,스푼,송송썬파,1,스푼,간장,3,스푼,설탕,1/2,스푼,식용류,1,스푼,꿀,1+1/2,스푼,물,5,스푼,통깨,1,스푼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【명엽채볶음 만들기~】막 집어 먹게 되는 맛의 비결은?!,"{'재료': ['명엽채100g'], '양념': ['식용유4T', '간장2T', '설탕2T', '물엿2T', '다진마늘1.5T']}",명엽채,100,g,식용유,4,T,간장,2,T,설탕,2,T,물엿,2,T,다진마늘,1.5,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
콩나물햄 굴소스볶음,"{'재료': ['콩나물1줌', '쪽파조금', '햄조금', '해바라기유조금'], '양념': ['다진마늘1작은술', '고춧가루1작은술', '부순깨', '후춧가루', '굴소스1스푼']}",콩나물,1,줌,쪽파조금,,,햄조금,,,해바라기유조금,,,다진마늘,1,작은술,고춧가루,1,작은술,부순깨,,,후춧가루,,,굴소스,1,스푼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[유아반찬] 오징어 간장볶음☆,"{'재료': ['오징어1마리', '양파1/2개', '애호박1/3개', '대파약간'], '양념': ['간장1큰술', '국간장1큰술', '매실액1큰술', '다진마늘1큰술', '올리고당1큰술', '설탕1/2큰술', '참기름1/2큰술', '통깨적당량', '소금약간', '후추약간', '맛술1/2큰술']}",오징어,1,마리,양파,1/2,개,애호박,1/3,개,대파약간,,,간장,1,큰술,국간장,1,큰술,매실액,1,큰술,다진마늘,1,큰술,올리고당,1,큰술,설탕,1/2,큰술,참기름,1/2,큰술,통깨적당량,,,소금약간,,,후추약간,,,맛술,1/2,큰술,,,,,,,,,,,,,,,
밑반찬레시피 향긋하게 입맛 돋우는 깻잎볶음,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
간단반찬 어묵청경채볶음,"{'재료': ['어묵2장', '청경채2뿌리', '양파1/2개', '마늘3~4쪽'], '양념': ['간장1.5T', '매실액1T', '참기름1/2T']}",어묵,2,장,청경채,2,뿌리,양파,1/2,개,마늘,3~4,쪽,간장,1.5,T,매실액,1,T,참기름,1/2,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
애호박볶음나물,"{'재료': ['애호박1개'], '양념': ['고추가루1T', '간장0.5T', '들기름0.5T', '마늘약간', '파약간', '소금약간']}",애호박,1,개,고추가루,1,T,간장,0.5,T,들기름,0.5,T,마늘약간,,,파약간,,,소금약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
들깨느타리버섯볶음,"{'재료': ['느타리버섯', '대파', '식용유', '들기름', '맛술2', '올리고당1', '다진마늘', '들깨가루', '후춧가루약간', '간장3']}",느타리버섯,,,대파,,,식용유,,,들기름,,,맛술,2,,올리고당,1,,다진마늘,,,들깨가루,,,후춧가루약간,,,간장,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10분완성 국민밑반찬 감자어묵볶음,"{'재료': ['감자2개260g', '사각어묵3장120g', '양파반개110g', '대파푸른부분15cm'], '양념(밥숟가락 계량)': ['진간장3숟가락', '굴소스1숟가락', '다진마늘1숟가락', '올리고당2숟가락', '설탕0.5숟가락', '물8숟가락'], '기타재료': ['식용유1.5숟가락', '참기름1숟가락', '통깨', '후추']}",감자,2,개,사각어묵,3,장,양파반개,110,g,대파푸른부분,15,cm,진간장,3,숟가락,굴소스,1,숟가락,다진마늘,1,숟가락,올리고당,2,숟가락,설탕,0.5,숟가락,물,8,숟가락,식용유,1.5,숟가락,참기름,1,숟가락,통깨,,,후추,,,,,,,,,,,,,,,,,,,,
바삭하고 달짝지근~ 고소한 멸치볶음! 효자밑반찬이 따로 없어요~:: 멸치주먹밥/멸치효능,"{'재료': ['멸치', '다진파1/2뿌리', '다진마늘1큰술', '통깨', '견과류'], '양념': ['간장1.5큰술', '올리고당4큰술', '설탕1큰술', '마요네즈1큰술듬뿍', '(소주or맛술)1큰술']}",멸치,,,다진파,1/2,뿌리,다진마늘,1,큰술,통깨,,,견과류,,,간장,1.5,큰술,올리고당,4,큰술,설탕,1,큰술,마요네즈,1,큰술듬뿍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【초간단】남은 치킨으로 맛있는 반찬 만들기~,"{'재료': ['남은치킨410g', '양파1개', '다진마늘1T듬뿍', '땡초2개'], '양념': ['고춧가루2T', '진간장3T', '물엿3T', '식용유적당량']}",남은치킨,410,g,양파,1,개,다진마늘,1,T듬뿍,땡초,2,개,고춧가루,2,T,진간장,3,T,물엿,3,T,식용유적당량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매콤어묵볶음,"{'재료': ['어묵3장', '비엔나소세지6개'], '양념': ['간장2T', '굴소스1T', '올리고당3T', '고춧가루1T', '후추약간', '물5T', '참기름1T', '깨적당히']}",어묵,3,장,비엔나소세지,6,개,간장,2,T,굴소스,1,T,올리고당,3,T,고춧가루,1,T,후추약간,,,물,5,T,참기름,1,T,깨적당히,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
애호박 새우젓 볶음,"{'재료': ['애호박300g', '대파22g', '청양고추1/2개', '홍고추1/2개', '물4큰술'], '양념': ['새우젓1큰술', '들기름2큰술', '다진마늘1/2큰술', '고추가루1작은술', '맛술1큰술', '매실청1큰술', '참기름1큰술', '깨1작은술']}",애호박,300,g,대파,22,g,청양고추,1/2,개,홍고추,1/2,개,물,4,큰술,새우젓,1,큰술,들기름,2,큰술,다진마늘,1/2,큰술,고추가루,1,작은술,맛술,1,큰술,매실청,1,큰술,참기름,1,큰술,깨,1,작은술,,,,,,,,,,,,,,,,,,,,,
어묵 볶음ㅣ대한민국 대표 밑반찬ㅣ단짠의 완벽비율을 찾았다!ㅣ밑반찬 [by.집밥한그릇],"{'재료': ['어묵250g', '꽈리고추4개', '양파1/2개'], '양념': ['간장1큰술', '설탕1큰술', '맛술1큰술', '다진마늘1/2큰술', '후추약간', '깨약간']}",어묵,250,g,꽈리고추,4,개,양파,1/2,개,간장,1,큰술,설탕,1,큰술,맛술,1,큰술,다진마늘,1/2,큰술,후추약간,,,깨약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어묵볶음 만드는 법,"{'재료': ['어묵300g', '양파1/2개', '대파조금'], '양념': ['마늘0.5TS', '간장1.5TS', '요리당0.5TS', '고춧가루0.5TS', '통깨약간']}",어묵,300,g,양파,1/2,개,대파조금,,,마늘,0.5,TS,간장,1.5,TS,요리당,0.5,TS,고춧가루,0.5,TS,통깨약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
햄 감자볶음,"{'재료': ['감자2개', '햄170g', '양파1/2개', '청양초1개'], '양념': ['간장2큰술', '굴소스1/2큰술', '갈색설탕1큰술', '물1소주컵']}",감자,2,개,햄,170,g,양파,1/2,개,청양초,1,개,간장,2,큰술,굴소스,1/2,큰술,갈색설탕,1,큰술,물,1,소주컵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쫀득하고 매력있는 '두부강정',"{'재료': ['두부1모', '전분가루3t', '설탕1t', '올리고당2t', '간장1t', '케찹3.5t', '고추장0.5t', '다진마늘0.3t', '물7t']}",두부,1,모,전분가루,3,t,설탕,1,t,올리고당,2,t,간장,1,t,케찹,3.5,t,고추장,0.5,t,다진마늘,0.3,t,물,7,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
들깨가루를 넣어 더욱 고소하고 부드러운 무나물,"{'재료': ['무우1/2통약간더', '들깨가루3T', '참기름1T', '다진마늘1T', '다진대파0.5T', '물100ml', '소금0.5T']}",무우,1/2,통약간더,들깨가루,3,T,참기름,1,T,다진마늘,1,T,다진대파,0.5,T,물,100,ml,소금,0.5,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"감자볶음 황금레시피, 감자볶음, 밑반찬 아이반찬","{'재료': ['감자3개', '통조림햄1/2개', '양파1/2개', '당근1/2개'], '간맞추기': ['소금1/4스푼', '후추톡톡']}",감자,3,개,통조림햄,1/2,개,양파,1/2,개,당근,1/2,개,소금,1/4,스푼,후추톡톡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매일 반찬 한 가지....건새우볶음,"{'재료': ['건새우1+1/2컵', '참기름1큰술', '대파초록부분1/2대', '다진마늘1/2큰술', '고추장1큰술', '청주2큰술', '매실청1큰술', '올리고당1큰술']}",건새우,1+1/2,컵,참기름,1,큰술,대파초록부분,1/2,대,다진마늘,1/2,큰술,고추장,1,큰술,청주,2,큰술,매실청,1,큰술,올리고당,1,큰술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
감자 반찬 스팸감자볶음,"{'재료': ['감자2개', '양파1/4개', '스팸1캔', '대파1/5대', '맛술1숟가락', '소금', '후춧가루적당히', '통깨0.5숟가락']}",감자,2,개,양파,1/4,개,스팸,1,캔,대파,1/5,대,맛술,1,숟가락,소금,,,후춧가루적당히,,,통깨,0.5,숟가락,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
애호박볶음 만들기 간단하게 볶기만 하면되,"{'재료': ['애호박1/2개', '양파작은것1/2개', '대파', '소금', '참기름1/2스푼', '다진마늘1/2스푼', '새우젓1/3스푼']}",애호박,1/2,개,양파작은것,1/2,개,대파,,,소금,,,참기름,1/2,스푼,다진마늘,1/2,스푼,새우젓,1/3,스푼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
최고 밑반찬!! 간장진미채볶음,"{'재료': ['진미채200g'], '양념': ['간장4큰술', '맛술4큰술', '마늘2큰술', '매실청1큰술', '설탕1큰술', '식용유1큰술', '올리고당1큰술', '마요네즈1큰술']}",진미채,200,g,간장,4,큰술,맛술,4,큰술,마늘,2,큰술,매실청,1,큰술,설탕,1,큰술,식용유,1,큰술,올리고당,1,큰술,마요네즈,1,큰술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
